firm_tic,date,ir,uid,event_type,activity_type,tic,comp_name,naics_code,aabret,investments,
WAT,2010-01-25,0.11,82651-25JAN2010,Product Launch ,Commercialization,A,AGILENT TECHNOLOGIES INC,334516,-0.004144668,-1174,
WAT,2010-01-25,0.11,82651-25JAN2010,Product Launch ,Commercialization,BRKR,BRUKER CORP,334516,0.020563119,-299,
OCLR,2010-01-25,0.11,90354-25JAN2010,Product Launch ,Commercialization,EMKR,EMCORE CORP,334413,-0.014999042,-0.316,
WAT,2010-01-25,0.11,82651-25JAN2010,Product Launch ,Commercialization,HBIO,HARVARD BIOSCIENCE INC,334516,-0.004275931,-8.346,
WAT,2010-01-25,0.11,82651-25JAN2010,Product Launch ,Commercialization,ILMN,ILLUMINA INC,334516,0.022106177,-285.053,
WAT,2010-01-25,0.11,82651-25JAN2010,Product Launch ,Commercialization,LAB,STANDARD BIOTOOLS INC,334516,0.01789271,-1.333,
WAT,2010-01-25,0.11,82651-25JAN2010,Product Launch ,Commercialization,MTD,METTLER-TOLEDO INTL INC,334516,0.001295257,-77.015,
OCLR,2010-01-25,0.11,90354-25JAN2010,Product Launch ,Commercialization,POWI,POWER INTEGRATIONS INC,334413,0.006657556,-46.545,
WAT,2010-01-25,0.11,82651-25JAN2010,Product Launch ,Commercialization,QGEN,QIAGEN NV,334516,0.004364346,-215.511,
OCLR,2010-01-25,0.11,90354-25JAN2010,Product Launch ,Commercialization,STM,STMICROELECTRONICS NV,334413,0.008409258,-526,
OCLR,2010-01-25,0.11,90354-25JAN2010,Product Launch ,Commercialization,TSEM,TOWER SEMICONDUCTOR LTD,334413,-0.005075217,-204.117,
AAPL,2010-01-27,0.11,14593-27JAN2010,Product Launch ,Commercialization,CLRO,CLEARONE INC,334220,0.003302996,-0.449,
AAPL,2010-01-27,0.11,14593-27JAN2010,Product Launch ,Commercialization,CRNT,CERAGON NETWORKS LTD,334220,-0.011773073,5.148,
OCLR,2010-01-27,0.11,90354-27JAN2010,Product Launch ,Commercialization,EMKR,EMCORE CORP,334413,0.003464262,-0.316,
AAPL,2010-01-27,0.11,14593-27JAN2010,Product Launch ,Commercialization,NOK,NOKIA OYJ,334220,0.043331141,-3212.425,
OCLR,2010-01-27,0.11,90354-27JAN2010,Product Launch ,Commercialization,POWI,POWER INTEGRATIONS INC,334413,0.000620927,-46.545,
OCLR,2010-01-27,0.11,90354-27JAN2010,Product Launch ,Commercialization,STM,STMICROELECTRONICS NV,334413,-0.000749802,-526,
OCLR,2010-01-27,0.11,90354-27JAN2010,Product Launch ,Commercialization,TSEM,TOWER SEMICONDUCTOR LTD,334413,0.001897934,-204.117,
AAPL,2010-01-27,0.11,14593-27JAN2010,Product Launch ,Commercialization,WGNR,WEGENER CORP,334220,0.005935999,-0.895,
PMTC,2010-02-08,0.13,75912-08FEB2010,Acquisition,Developmental,ACN,ACCENTURE PLC,541611,0.00040342,-273.765,
PMTC,2010-02-08,0.13,75912-08FEB2010,Acquisition,Developmental,HCKT,HACKETT GROUP INC,541611,-0.002982865,-3.616,
PMTC,2010-02-08,0.13,75912-08FEB2010,Acquisition,Developmental,HURN,HURON CONSULTING GROUP INC,541611,0.004994722,-87.817,
INFA,2010-02-09,0.13,86830-09FEB2010,Preaanouncement,Initiation ,ACIW,ACI WORLDWIDE INC,518210,0.012247601,-19.349,
INFA,2010-02-09,0.13,86830-09FEB2010,Preaanouncement,Initiation ,ADBE,ADOBE INC,518210,-0.016740922,-1159.294,
INFA,2010-02-09,0.13,86830-09FEB2010,Preaanouncement,Initiation ,ASUR,ASURE SOFTWARE INC,518210,0.006018997,-0.141,
INFA,2010-02-09,0.13,86830-09FEB2010,Preaanouncement,Initiation ,ROP,ROPER TECHNOLOGIES INC,518210,-0.001547916,-563.274,
MOVE,2010-06-17,0.18,87165-17JUN2010,Product Launch ,Commercialization,AMD,ADVANCED MICRO DEVICES,334413,-0.011782515,-1123,
MOVE,2010-06-17,0.18,87165-17JUN2010,Product Launch ,Commercialization,CRUS,CIRRUS LOGIC INC,334413,-0.000436544,-74.249,
MOVE,2010-06-17,0.18,87165-17JUN2010,Product Launch ,Commercialization,LSCC,LATTICE SEMICONDUCTOR CORP,334413,-0.023241102,-64.394,
MOVE,2010-06-17,0.18,87165-17JUN2010,Product Launch ,Commercialization,PLAB,PHOTRONICS INC,334413,-0.005766001,-58.212,
BCS,2010-07-15,0.18,69761-15JUL2010,Preannouncement ,Initiation ,CHCO,CITY HOLDING CO,522110,0.008797439,-26.589,
BCS,2010-07-15,0.18,69761-15JUL2010,Preannouncement ,Initiation ,FULT,FULTON FINANCIAL CORP,522110,-0.005042246,145.949,
BCS,2010-07-15,0.18,69761-15JUL2010,Preannouncement ,Initiation ,SAN,BANCO SANTANDER SA,522110,-0.009786765,-3496.102,
BCS,2010-07-15,0.18,69761-15JUL2010,Preannouncement ,Initiation ,SNV,SYNOVUS FINANCIAL CORP,522110,0.002494385,788.119,
MSFT,2010-08-17,0.19,10107-17AUG2010,Preaanouncement,Initiation ,CDNS,CADENCE DESIGN SYSTEMS INC,513210,0.004856476,-285.112,
MSFT,2010-08-17,0.19,10107-17AUG2010,Preaanouncement,Initiation ,DJCO,DAILY JOURNAL CORP,513210,0.006778092,-7.134,
CPHD,2010-09-02,0.19,88331-02SEP2010,Product Launch ,Commercialization,A,AGILENT TECHNOLOGIES INC,334516,-0.006410524,-1174,
CPHD,2010-09-02,0.19,88331-02SEP2010,Product Launch ,Commercialization,BRKR,BRUKER CORP,334516,0.010666708,-299,
CPHD,2010-09-02,0.19,88331-02SEP2010,Product Launch ,Commercialization,HBIO,HARVARD BIOSCIENCE INC,334516,-0.00207412,-8.346,
CPHD,2010-09-02,0.19,88331-02SEP2010,Product Launch ,Commercialization,ILMN,ILLUMINA INC,334516,-0.001293421,-285.053,
CPHD,2010-09-02,0.19,88331-02SEP2010,Product Launch ,Commercialization,LAB,STANDARD BIOTOOLS INC,334516,-0.001465093,-1.333,
CPHD,2010-09-02,0.19,88331-02SEP2010,Product Launch ,Commercialization,MTD,METTLER-TOLEDO INTL INC,334516,-0.010371795,-77.015,
CPHD,2010-09-02,0.19,88331-02SEP2010,Product Launch ,Commercialization,QGEN,QIAGEN NV,334516,0.001440508,-215.511,
CPHD,2010-09-02,0.19,88331-02SEP2010,Product Launch ,Commercialization,WAT,WATERS CORP,334516,-0.005199962,-411.515,
RDWR,2010-09-27,0.19,87251-27SEP2010,Product Launch ,Commercialization,CSCO,CISCO SYSTEMS INC,334118,-0.002084462,-11931,
RDWR,2010-09-27,0.19,87251-27SEP2010,Product Launch ,Commercialization,CSCO,CISCO SYSTEMS INC,334118,0.000589572,-11931,
RDWR,2010-09-27,0.19,87251-27SEP2010,Product Launch ,Commercialization,HAUP,HAUPPAUGE DIGITAL INC,334118,-0.040120456,-0.574,
RDWR,2010-09-27,0.19,87251-27SEP2010,Product Launch ,Commercialization,SILC,SILICOM LTD,334118,0.009479869,-4.091,
RDWR,2010-09-27,0.19,87251-27SEP2010,Product Launch ,Commercialization,SSYS,STRATASYS LTD,334118,0.003173137,-49.294,
RDWR,2010-09-27,0.19,87251-27SEP2010,Product Launch ,Commercialization,TACT,TRANSACT TECHNOLOGIES INC,334118,0.009814627,-1.097,
RDWR,2010-09-27,0.19,87251-27SEP2010,Product Launch ,Commercialization,ZBRA,ZEBRA TECHNOLOGIES CP  -CL A,334118,0.009481083,-39.616,
SAI,2010-11-01,0.19,91547-01NOV2010,Product Launch ,Commercialization,ACIW,ACI WORLDWIDE INC,518210,-0.010111627,-19.349,
SAI,2010-11-01,0.19,91547-01NOV2010,Product Launch ,Commercialization,ADBE,ADOBE INC,518210,-0.00158102,-1159.294,
SAI,2010-11-01,0.19,91547-01NOV2010,Product Launch ,Commercialization,ASUR,ASURE SOFTWARE INC,518210,-0.032382085,-0.141,
SAI,2010-11-01,0.19,91547-01NOV2010,Product Launch ,Commercialization,ROP,ROPER TECHNOLOGIES INC,518210,-0.000323905,-563.274,
OTEX,2011-01-18,0.17,82833-18JAN2011,Product Launch ,Commercialization,ADBE,ADOBE INC,518210,-0.008044095,-757.402,
KEM,2011-02-14,0.16,78001-14FEB2015,Product Launch ,Commercialization,FVD,FIRST TR VALUE LINE DIV FD,525910,0.003800858,0,
KEM,2011-02-14,0.16,78001-14FEB2011,Product Launch ,Commercialization,MDIV,FIRST TR ETF IV MULTI ASSET,525910,0.001505028,0,
KEM,2011-02-14,0.16,78001-14FEB2013,Product Launch ,Commercialization,MDYG,SPDR S&P 400 MID CAP GRW ETF,525910,-0.000893662,0,
KEM,2011-02-15,0.16,78001-14FEB2012,Product Launch ,Commercialization,BBH,VANECK BIOTECH ETF,525910,0.003250918,1562.07,
KEM,2011-02-17,0.16,78001-14FEB2014,Product Launch ,Commercialization,DBC,INVS DB COMDTY IDX TRACKING,525910,8.45E-05,0,
HMC,2011-03-18,0.14,59555-18MAR2014,Preaanouncement,Initiation ,TM,TOYOTA MOTOR CORP,336110,-0.003851693,-17506,
ANTP,2011-03-21,0.14,46907-21MAR2011,Preaanouncement,Initiation ,AVNW,AVIAT NETWORKS INC,334220,-0.026014732,-4.2,
ANTP,2011-03-21,0.14,46907-21MAR2011,Preaanouncement,Initiation ,CRNT,CERAGON NETWORKS LTD,334220,0.020501535,-28.033,
ANTP,2011-03-21,0.14,46907-21MAR2011,Preaanouncement,Initiation ,GILT,GILAT SATELLITE NETWORKS LTD,334220,0.026361262,-7.965,
ANTP,2011-03-21,0.14,46907-21MAR2011,Preaanouncement,Initiation ,NOK,NOKIA OYJ,334220,0.004731692,1944.653,
ANTP,2011-03-21,0.14,46907-21MAR2011,Preaanouncement,Initiation ,UTSI,UTSTARCOM HOLDINGS CORP,334220,-0.016934727,-10.761,
TRW,2011-04-14,0.1,90052-14APR2011,Preannouncement ,Initiation ,TM,TOYOTA MOTOR CORP,336110,-0.002796793,-17506,
GM,2011-05-09,0.09,12369-09MAY2011,Preannouncement ,Initiation ,TM,TOYOTA MOTOR CORP,336110,0.017997481,-17506,
MSFT,2011-05-10,0.09,10107-10MAY2011,Acquisition,Developmental,CDNS,CADENCE DESIGN SYSTEMS INC,513210,0.015825768,-56.497,
MSFT,2011-05-10,0.09,10107-10MAY2011,Acquisition,Developmental,DJCO,DAILY JOURNAL CORP,513210,-0.00410736,-10.874,
VRX,2011-07-19,0.07,80307-19JUL2011,Preannouncement ,Initiation ,BKD,BROOKDALE SENIOR LIVING INC,621111,-0.002825737,-203.899,
VRX,2011-07-19,0.07,80307-19JUL2011,Preannouncement ,Initiation ,MD,PEDIATRIX MEDICAL GROUP INC,621111,-0.007437389,-190.573,
STXS,2012-02-08,0.1,90325-08FEB2012,Expansion,Developmental,EDAP,EDAP TMS SA  -ADR,334510,-0.0138472,0.308,
STXS,2012-02-08,0.1,90325-08FEB2012,Expansion,Developmental,EMITF,ELBIT IMAGING LTD,334510,0.012196172,495.566,
EMC,2012-03-08,0.13,83291-08MAR2012,Product Launch ,Commercialization,CQQQ,INVS ETF TR II - CHINA TECH,525910,0.001561654,-589.2,
EMC,2012-03-08,0.13,83291-08MAR2012,Product Launch ,Commercialization,IJJ,ISHARES S&P MID-CAP 400 VAL,525910,0.000114997,0,
EMC,2012-03-08,0.13,83291-08MAR2012,Product Launch ,Commercialization,PSK,SPDR WELLS FARGO PFD STK ETF,525910,-0.002793493,0,
ELNK,2012-03-08,0.13,83291-08MAR2012,Product Launch ,Commercialization,TCX,TUCOWS INC,519130,-0.003067278,-0.488,
EMC,2012-03-08,0.13,83291-08MAR2012,Product Launch ,Commercialization,VCR,VANGUARD CONSUMER DISCRT ETF,525910,0.001165353,0,
ERIC,2012-05-09,0.16,33452-09MAY2012,Product Launch ,Commercialization,CLRO,CLEARONE INC,334220,-0.016131901,-5.206,
ERIC,2012-05-09,0.16,33452-09MAY2012,Product Launch ,Commercialization,NOK,NOKIA OYJ,334220,0.044699795,741.053,
MSFT,2012-07-01,0.16,10107-01JUL2012,Product Launch ,Commercialization,CDNS,CADENCE DESIGN SYSTEMS INC,513210,-0.002923614,-201.24,
MSFT,2012-07-01,0.16,10107-01JUL2012,Product Launch ,Commercialization,DJCO,DAILY JOURNAL CORP,513210,-0.014580107,-9.032,
MSFT,2012-07-01,0.16,10107-01JUL2012,Product Launch ,Commercialization,MITK,MITEK SYSTEMS INC,513210,0.002020779,2.108,
MU,2012-07-02,0.16,53613-02JUL2012,Acquisition,Expansion,KOPN,KOPIN CORP,334413,-0.007468881,-15.931,
MU,2012-07-02,0.16,53613-02JUL2012,Acquisition,Expansion,NVEC,NVE CORP,334413,0.001736093,-11.84,
MU,2012-07-02,0.16,53613-02JUL2012,Acquisition,Expansion,QCOM,QUALCOMM INC,334413,0.002279315,-6877,
LQDT,2012-07-08,0.16,91095-08JUL2012,Acquisition,Expansion,CONN,CONN'S INC,449210,-0.008033967,-9.471,
LQDT,2012-07-08,0.16,91095-08JUL2012,Acquisition,Expansion,GME,GAMESTOP CORP,449210,-0.009611952,-152.7,
LQDT,2012-07-08,0.16,91095-08JUL2012,Acquisition,Expansion,LIVE,LIVE VENTURES INC,449210,-0.090964104,-0.531,
TRNS,2012-07-16,0.16,76946-16JUL2012,Acquisition,Expansion,BECN,BEACON ROOFING SUPPLY INC,541380,-0.003133858,-157.035,
TRNS,2012-07-16,0.16,76946-16JUL2012,Acquisition,Expansion,DXPE,DXP ENTERPRISES INC,541380,0.016020577,-159.094,
TRNS,2012-07-16,0.16,76946-16JUL2012,Acquisition,Expansion,TITN,TITAN COMPANY LTD,541380,-0.03187758,-64.112,
EQIX,2012-07-24,0.16,89617-24JUL2012,Acquisition,Developmental,ELS,EQUITY LIFESTYLE PPTYS INC,531190,-0.006689968,-86.565,
EQIX,2012-07-24,0.16,89617-24JUL2012,Acquisition,Developmental,LTC,LTC PROPERTIES INC,531190,-0.003773627,-158.515,
EQIX,2012-07-24,0.16,89617-24JUL2012,Acquisition,Developmental,OHI,OMEGA HEALTHCARE INVS INC,531190,0.001557653,-390.703,
NOK,2012-08-03,0.13,87128-03AUG2012,Product Launch ,Commercialization,CLRO,CLEARONE INC,334220,-0.005173759,-5.206,
NOK,2012-08-03,0.13,87128-03AUG2012,Product Launch ,Commercialization,NOK,NOKIA OYJ,334220,-0.005964575,741.053,
SNPS,2012-08-04,0.13,77357-04AUG2012,Acquisition,Developmental,ANSS,ANSYS INC,511210,-0.005788474,-68.956,
SNPS,2012-08-04,0.13,77357-04AUG2012,Acquisition,Developmental,MSTR,MICROSTRATEGY INC,511210,0.013700826,-35.833,
SNPS,2012-08-04,0.13,77357-04AUG2012,Acquisition,Developmental,PDFS,PDF SOLUTIONS INC,511210,0.022629502,-1.359,
ASTI,2012-08-15,0.13,91428-15AUG2012,Preaanouncement,Initiation ,KOPN,KOPIN CORP,334413,0.002204376,-15.931,
ASTI,2012-08-15,0.13,91428-15AUG2012,Preaanouncement,Initiation ,NVEC,NVE CORP,334413,0.004480844,-11.84,
ASTI,2012-08-15,0.13,91428-15AUG2015,Preaanouncement,Initiation ,QCOM,QUALCOMM INC,334413,0.002170145,-6877,
QCOM,2012-08-23,0.13,77178-23AUG2012,Acquisition,Developmental,KOPN,KOPIN CORP,334413,-0.000542701,-15.931,
QCOM,2012-08-23,0.13,77178-23AUG2012,Acquisition,Developmental,NVEC,NVE CORP,334413,0.002754751,-11.84,
MMM,2012-09-05,0.14,22592-05SEP2012,Acquisition,Developmental,IEP,ICAHN ENTERPRISES LP,999977,0.001896582,-2279,
MMM,2012-09-05,0.14,22592-05SEP2012,Acquisition,Developmental,SPLP,STEEL PARTNERS HOLDINGS LP,999977,-0.000735666,54.231,
SNPS,2012-11-14,0.16,77357-14NOV2012,Product Launch ,Commercialization,ANSS,ANSYS INC,511210,0.002182354,-68.956,
SNPS,2012-11-14,0.16,77357-14NOV2012,Product Launch ,Commercialization,MSTR,MICROSTRATEGY INC,511210,-0.026536701,-35.833,
SNPS,2012-11-14,0.16,77357-14NOV2012,Product Launch ,Commercialization,PDFS,PDF SOLUTIONS INC,511210,-0.003892815,-1.359,
IDCC,2013-01-02,0.14,45306-02JAN2013,Alliance,Developmental,BPT,BP PRUDHOE BAY ROYALTY TRUST,533110,0.032114036,-22.76,
IDCC,2013-01-02,0.14,45306-02JAN2013,Alliance,Developmental,CKX,CKX LANDS INC,533110,0.00471672,-1.938,
AFSI,2013-01-02,0.14,91603-02JAN2013,Acquisition,Developmental,MBI,MBIA INC,524126,0.008470511,-6,
AFSI,2013-01-02,0.14,91603-02JAN2013,Acquisition,Developmental,MKL,MARKEL GROUP INC,524126,0.00481434,187.387,
KEM,2013-01-02,0.14,78001-02JAN2013,Acquisition,Developmental,PFXF,VANECK PREF SEC EX FINL ETF,525910,-0.000366426,0,
AFSI,2013-01-02,0.14,91603-02JAN2013,Acquisition,Developmental,PGR,PROGRESSIVE CORP-OHIO,524126,0.004390549,-1356.5,
AFSI,2013-01-02,0.14,91603-02JAN2013,Acquisition,Developmental,RLI,RLI CORP,524126,-0.003481716,-101.932,
KEM,2013-01-02,0.14,78001-02JAN2013,Acquisition,Developmental,SPFF,GLOBAL X SUPERINCM PFD ETF,525910,-0.001250953,0,
UFPI,2013-01-02,0.14,79878-02JAN2013,Acquisition,Developmental,SSD,SIMPSON MANUFACTURING CO INC,321912,-0.001203665,-17.335,
KEM,2013-01-02,0.14,78001-02JAN2013,Acquisition,Developmental,TDIV,FIRST TR ETF IV NASDAQ TECH,525910,-0.002702547,0,
KEM,2013-01-02,0.14,78001-02JAN2013,Acquisition,Developmental,VEGA,ADVISORSHARES STAR GLB BYWRT,525910,0.000145965,0,
AFSI,2013-01-02,0.14,91603-02JAN2013,Acquisition,Developmental,WRB,BERKLEY (W R) CORP,524126,0.001742045,-545.364,
KEM,2013-01-04,0.14,78001-02JAN2015,Acquisition,Developmental,DWAS,INVESCO DORSEY WRI SM MO ETF,525910,0.000298186,-186,
AAPL,2013-01-14,0.14,14593-14JAN2013,Preannouncement ,Initiation ,CLRO,CLEARONE INC,334220,0.161128229,-26.542,
AAPL,2013-01-14,0.14,14593-14JAN2013,Preannouncement ,Initiation ,NOK,NOKIA OYJ,334220,-0.008860101,-952.129,
CVLT,2013-01-16,0.14,91463-16JAN2013,Expansion,Developmental,ADBE,ADOBE INC,518210,0.007166986,-1177.803,
CVLT,2013-01-29,0.14,91463-29JAN2013,Expansion,Developmental,ADBE,ADOBE INC,518210,-0.004272406,-1177.803,
SAP,2013-02-14,0.15,89382-14FEB2013,Product Launch ,Developmental,CDNS,CADENCE DESIGN SYSTEMS INC,513210,0.016964208,-426.895,
